Start Date and Time,RM1,RM2,CM1,CM2,Campaign,Instrument,Size Fraction,SN1,SN2,Public Domain?
28.11.2004,,,,,Birmingham Winter,PM10TEOM1400AB,PM10,25019,25023,N
29.11.2004,,,,,Birmingham Winter,PM10TEOM1400AB,PM10,25019,25023,N
30.11.2004,,,,,Birmingham Winter,PM10TEOM1400AB,PM10,25019,25023,N
01.12.2004,44.08,47.9,28.73,28.35,Birmingham Winter,PM10TEOM1400AB,PM10,25019,25023,N
02.12.2004,30.21,32.41,23.72,23.33,Birmingham Winter,PM10TEOM1400AB,PM10,25019,25023,N
03.12.2004,15.77,16.3,14,13.81,Birmingham Winter,PM10TEOM1400AB,PM10,25019,25023,N
04.12.2004,,,10.07,9.97,Birmingham Winter,PM10TEOM1400AB,PM10,25019,25023,N
05.12.2004,,,7.2,7.17,Birmingham Winter,PM10TEOM1400AB,PM10,25019,25023,N
06.12.2004,15.03,16.41,14.58,14.41,Birmingham Winter,PM10TEOM1400AB,PM10,25019,25023,N
07.12.2004,28.18,31.51,21.27,20.96,Birmingham Winter,PM10TEOM1400AB,PM10,25019,25023,N
08.12.2004,,,17.23,16.98,Birmingham Winter,PM10TEOM1400AB,PM10,25019,25023,N
09.12.2004,46.24,45.6,28.87,28.38,Birmingham Winter,PM10TEOM1400AB,PM10,25019,25023,N
10.12.2004,45.71,45.61,29.39,28.87,Birmingham Winter,PM10TEOM1400AB,PM10,25019,25023,N
11.12.2004,,,15.16,14.9,Birmingham Winter,PM10TEOM1400AB,PM10,25019,25023,N
12.12.2004,,,22.49,22.29,Birmingham Winter,PM10TEOM1400AB,PM10,25019,25023,N
13.12.2004,37.61,40.88,27.42,27.02,Birmingham Winter,PM10TEOM1400AB,PM10,25019,25023,N
14.12.2004,28.95,31.2,21.84,21.5,Birmingham Winter,PM10TEOM1400AB,PM10,25019,25023,N
15.12.2004,24.91,25.43,19.32,19,Birmingham Winter,PM10TEOM1400AB,PM10,25019,25023,N
16.12.2004,14.61,13.19,13.63,13.39,Birmingham Winter,PM10TEOM1400AB,PM10,25019,25023,N
17.12.2004,9.14,9.31,11.16,10.91,Birmingham Winter,PM10TEOM1400AB,PM10,25019,25023,N
18.12.2004,,,11.94,11.78,Birmingham Winter,PM10TEOM1400AB,PM10,25019,25023,N
19.12.2004,,,26.79,26.28,Birmingham Winter,PM10TEOM1400AB,PM10,25019,25023,N
20.12.2004,,,17.19,17.03,Birmingham Winter,PM10TEOM1400AB,PM10,25019,25023,N
21.12.2004,,,13.48,13.25,Birmingham Winter,PM10TEOM1400AB,PM10,25019,25023,N
22.12.2004,,,4.17,4.98,Birmingham Winter,PM10TEOM1400AB,PM10,25019,25023,N
23.12.2004,,,15.8,16.04,Birmingham Winter,PM10TEOM1400AB,PM10,25019,25023,N
24.12.2004,,,8.3,8.57,Birmingham Winter,PM10TEOM1400AB,PM10,25019,25023,N
25.12.2004,,,8.97,9.9,Birmingham Winter,PM10TEOM1400AB,PM10,25019,25023,N
26.12.2004,,,12.09,12.94,Birmingham Winter,PM10TEOM1400AB,PM10,25019,25023,N
27.12.2004,,,10.8,10.95,Birmingham Winter,PM10TEOM1400AB,PM10,25019,25023,N
28.12.2004,,,14.01,14.2,Birmingham Winter,PM10TEOM1400AB,PM10,25019,25023,N
29.12.2004,,,13.29,13.4,Birmingham Winter,PM10TEOM1400AB,PM10,25019,25023,N
30.12.2004,,,13.21,13.33,Birmingham Winter,PM10TEOM1400AB,PM10,25019,25023,N
31.12.2004,,,9.77,9.89,Birmingham Winter,PM10TEOM1400AB,PM10,25019,25023,N
01.01.2005,,,9.16,9.25,Birmingham Winter,PM10TEOM1400AB,PM10,25019,25023,N
02.01.2005,,,14.38,14.51,Birmingham Winter,PM10TEOM1400AB,PM10,25019,25023,N
03.01.2005,,,11.31,11.32,Birmingham Winter,PM10TEOM1400AB,PM10,25019,25023,N
04.01.2005,,,16.23,16.21,Birmingham Winter,PM10TEOM1400AB,PM10,25019,25023,N
05.01.2005,13.16,14.65,15.86,15.83,Birmingham Winter,PM10TEOM1400AB,PM10,25019,25023,N
06.01.2005,14.46,10.66,12.76,12.86,Birmingham Winter,PM10TEOM1400AB,PM10,25019,25023,N
07.01.2005,8.76,12.68,13.24,13.59,Birmingham Winter,PM10TEOM1400AB,PM10,25019,25023,N
08.01.2005,10.69,14.25,17.1,17.03,Birmingham Winter,PM10TEOM1400AB,PM10,25019,25023,N
09.01.2005,12.86,12.91,14.7,14.68,Birmingham Winter,PM10TEOM1400AB,PM10,25019,25023,N
10.01.2005,,,21.41,21.34,Birmingham Winter,PM10TEOM1400AB,PM10,25019,25023,N
